21 88
16 1 1
4 0 1
15 5 1
18 2 48
20 7 147
4 12 1
16 8 170
20 6 29
14 0 12
1 18 80
11 6 1
1 19 126
12 19 15
1 13 115
4 17 1
13 5 14
0 17 31
14 17 62
10 6 1
9 18 1
14 12 72
2 4 42
2 14 1
8 10 1
20 10 93
4 6 1
15 9 21
1 20 6
0 6 1
5 8 83
0 19 78
1 8 165
9 12 1
9 1 1
0 13 19
1 11 116
0 5 33
9 10 1
18 12 85
15 19 5
19 14 1
17 13 1
6 9 106
19 20 1
20 5 94
13 2 11
19 10 1
10 3 1
6 18 14
11 19 3
5 11 26
19 4 8
17 15 26
13 7 73
9 8 1
13 11 40
2 7 42
12 20 1
10 14 1
0 10 37
14 3 33
13 18 1
12 0 1
0 18 1
5 12 14
20 14 36
16 20 32
7 8 7
0 3 21
16 15 129
9 16 1
2 5 3
14 11 93
18 20 1
0 8 85
18 17 36
8 6 1
11 4 49
12 3 1
20 17 105
8 20 1
6 3 40
15 10 1
13 9 73
15 7 15
12 10 1
12 1 1
11 0 1
16 9
