10089 36421
6873 7588 3281857
1625 2583 7053252
3330 7303 6530849
3450 7272 1
249 7788 3861117
7618 9087 9876783
7416 2347 5770675
4722 1106 1
1807 4741 28853
1591 6275 4522550
5025 1509 2845330
5118 5779 11380309
6804 8384 1
5989 3341 7752984
3133 5805 21997
112 9626 1814873
7386 4445 49209
5983 775 8183501
4327 6180 1
3544 184 67853
9479 616 24172
6572 1233 10159152
853 1732 8135771
2329 1815 837923
6352 5298 1
1023 3521 45736
3467 6673 13327642
1477 8080 10427151
4515 337 1
4495 232 90461
1457 7048 1
9858 6029 1
118 9210 58370
6352 4840 90658
7935 9387 1
1881 4642 1
620 706 550151
3341 7353 1
222 6933 1500637
6742 3771 515130
7505 6129 1
2626 2187 1
5302 4177 44216
2477 8336 30498
8355 1725 1758607
7585 4882 1
6669 3733 1
1692 9731 11797006
3385 4661 43026
3793 8735 1
1339 7632 8652704
6145 1579 1
7129 2154 6135609
1762 2251 87570
8864 5815 8811567
6083 6372 2293687
6995 8166 1
4691 5405 1
3429 1 91579
2688 4662 1
9093 8567 98681
8583 5629 87030
7636 1989 1781416
8839 1218 9664538
174 4839 1
5228 3499 1
9903 1546 1
5687 9745 7166104
2281 7746 1
1517 5876 2907937
8055 5810 775
8494 3693 1
3029 9808 1
3129 6470 1
5982 9791 9710346
2361 1544 3383820
8143 966 9073035
4517 9026 1
7417 1589 9538193
5833 69 12194014
4247 8517 1649818
8903 3753 32829
7868 894 9099108
215 7805 5250
7428 4518 1
5677 1543 3361278
5706 8084 1
1093 4857 14426263
4461 8048 1804540
2712 5997 1
2064 2993 1
6994 1221 1
3297 1888 81514
5363 8454 56566
9292 533 1355601
9080 5045 1
1807 7216 65494
8089 9180 46761
856 3940 9574433
4744 1923 1
4232 9388 57812
1909 6496 4164284
4579 8993 10063236
5515 3219 57190
8657 9636 1
2807 2497 1
2372 9428 1
8224 8891 3988284
8752 3791 12408564
1790 2441 10974820
1000 5732 53359
1950 5312 56852
8966 1835 20918
8650 3618 15901243
7402 8903 1280011
803 5711 44723
8918 7157 77435
6329 8251 1
4490 986 28762
7822 4311 3309431
6891 2792 51884
4914 187 1
5408 69 10090882
2227 6135 1
868 5962 79342
711 8919 1
9261 8783 798
856 8304 9441209
4399 6326 1
6638 2093 8541799
849 4086 4693773
8209 2760 1
3248 2609 1
6057 4054 86638
2648 9584 48382
416 1433 2593288
4639 6532 1
10014 7724 6280545
836 8757 4307240
8640 8970 8988523
3258 3709 1390251
5080 9711 1
7118 4689 17934
10053 2751 3452764
431 9069 1
4620 4642 4204
3485 5498 1
6138 8253 1
1921 6242 12849810
9452 5989 963096
1870 1393 14193662
3389 5974 1
4134 2835 84273
4793 1415 1
5746 6745 2477688
977 7013 1
1420 6826 1123704
9506 4989 74934
2832 6923 4137760
8563 5093 6393765
9476 6133 5354912
676 411 1
6220 8970 74951
9284 6359 1
6550 6548 1
9782 2062 1
