109 349
18 17 1
43 1 185
102 14 1
2 33 1
28 23 1
34 51 1
70 74 1
57 100 953
104 89 82
61 30 1
6 20 950
82 14 1
45 31 124
25 84 1
21 15 1
93 52 1
81 22 1
9 105 1
53 19 172
35 62 116
26 48 1
64 108 1
47 71 1
67 34 38
102 56 996
56 30 33
80 35 1
65 39 1
85 34 1065
49 29 948
100 49 1
43 74 188
68 0 1
39 18 777
31 77 1876
56 76 1
51 55 1092
82 48 1
101 60 1413
53 77 125
98 8 1232
102 69 184
93 102 1
71 50 1074
100 21 211
90 47 1
43 22 109
36 84 1
54 53 1204
105 56 696
106 82 1607
7 86 414
27 13 165
67 59 1
69 87 102
8 72 1
64 100 40
40 108 4
96 85 1
27 84 1
77 70 1
40 50 1
6 45 1
14 104 127
53 29 192
79 49 827
38 80 668
42 8 1038
24 105 1200
34 38 107
24 58 1144
94 86 2096
78 17 124
2 52 1
101 77 1431
59 84 886
77 86 1
15 56 183
10 1 1
55 80 23
65 93 94
46 83 77
22 52 145
31 55 1632
97 7 1
65 82 1
65 90 195
81 89 1
90 41 1
62 21 451
55 88 43
16 94 1
60 91 1
90 70 50
42 79 20
103 73 54
32 51 1
9 77 218
46 0 186
14 73 1330
15 78 1
90 94 1
20 27 750
103 14 1
62 16 1
16 13 1552
54 95 1174
23 52 623
103 5 1
74 39 1
7 80 317
93 64 379
76 18 131
92 25 657
48 62 1196
107 49 1151
60 61 1
67 76 213
98 30 1745
1 81 55
25 1 1
88 89 1
0 51 10
34 73 195
108 92 674
70 4 38
12 6 1
59 29 2391
14 55 1855
83 87 573
61 51 1
56 95 127
96 43 1
59 14 218
24 11 25
64 86 10
1 41 694
8 52 1
46 2 1072
41 78 1
7 55 171
60 14 1
88 81 1
30 68 1
57 20 143
43 53 1407
57 49 177
67 48 1
38 96 1
54 26 172
102 57 112
92 2 207
74 64 1289
15 91 1
17 37 639
56 11 1
62 27 43
14 6 130
76 7 427
69 58 46
88 28 1
49 43 1
68 65 86
86 49 1
108 66 945
11 17 373
73 54 1
51 27 1187
19 13 1
53 64 32
43 75 130
7 9 189
94 95 2085
3 98 157
79 35 1268
62 52 1
7 21 597
99 57 1
39 23 1
48 7 1093
86 83 1
57 67 95
64 97 108
46 15 1236
78 46 137
87 40 1
39 21 1473
43 102 464
70 15 1
22 102 211
97 79 1
9 99 387
76 17 1
34 22 1
90 12 453
49 83 1
67 104 1
56 63 98
24 45 46
41 67 1
88 84 1
104 55 1700
11 23 78
106 59 66
17 88 1513
7 15 44
45 7 1592
16 33 620
88 100 59
59 3 147
94 65 1767
14 24 19
58 10 475
53 95 72
8 15 548
62 9 75
11 14 1
14 23 122
93 17 1
8 68 192
37 70 836
90 66 10
73 53 745
78 16 185
70 99 360
18 46 1
55 71 1
1 5 120
49 87 1
106 24 477
56 21 417
65 35 78
75 50 99
52 41 496
54 47 45
90 4 88
9 91 1
82 42 1
83 48 66
104 79 187
46 43 24
101 72 172
41 10 166
43 101 159
41 92 95
47 85 1
34 36 5
86 44 12
15 72 1
67 98 1
37 105 70
71 106 73
57 107 1
59 15 1930
35 57 1
108 95 1180
63 14 1
38 82 37
45 82 1208
2 48 1
40 61 1262
77 100 21
43 84 42
61 64 1
45 78 212
27 25 152
80 85 1
108 8 407
15 83 1
22 63 1446
80 86 130
67 91 85
57 37 99
27 45 1
53 45 1
25 104 1
75 96 57
36 38 241
11 28 107
93 84 1
20 92 273
83 28 1
104 48 458
21 106 1
3 26 1076
59 94 6
4 25 226
57 36 138
42 0 306
65 75 1
106 58 1408
93 63 521
67 103 179
28 108 800
91 8 94
57 87 174
64 44 22
36 50 1
35 96 1
21 72 1
97 75 1
67 33 27
11 26 960
64 2 1
33 89 1
11 81 708
33 4 773
35 7 2
82 72 1
47 61 1299
88 14 1
55 82 1
70 18 1
97 94 1
54 45 1
26 40 1
48 33 486
0 59 1
68 32 97
4 12 193
45 85 63
63 99 127
71 12 2399
78 42 17
90 53 167
100 60 133
59 107 162
51 74 16
46 11 1
62 0 1
74 40 134
11 69 905
100 101 1
88 98 1
54 102 15
74 54 117
10 43 1
100 61 123
0 55 1085
96 73 598
48 14 1
47 77 1301
74 15 1123
35 41 1
0 8 550
4 41 1
93 41 1
37 41 186
101 108 167
71 100
